NameCircuit,CurrentValue_inA,BHN,BHS,BHW
BHZmain,1253.166,0.2418610381,0.2418610381,0.2418610381
BHZtrim,2.097,,,0.00040472109999999996
trim0506,6.638,0.0012811341,,
trim0809,0.972,,,0.0001875961
trim1112,2.138,0.0004126341,,
trim1718,-3.682,-0.0007106259,,
trim2021,7.53,,,0.0014532901000000001
trim2324,0.265,5.1145100000000006e-05,,
trim3334,7.876,0.0015200681,,
trim3637,-3.297,,,-0.0006363209
trim3940,3.695,0.0007131351,,
trim4546,4.957,0.0009567011,,
trim4849,7.238,,,0.0013969341
trim5152,-3.85,,-0.0007430499,
