NameCircuit,CurrentValue_inA,QDC,QDN,QDS,QDW7,QDW9,QFC,QFN,QFNS,QFW6,QFW8
Qmain1,968.72,-0.45239556594764346,-0.45239556694105926,-0.5730343837580761,-0.46077326153355036,-0.3560520656458662,0.5049877407204691,0.5730343834870278,0.5127149745719057,0.41888478332609025,0.5445502182680227
Qmain2,618.915,,,,,,,,0.3275734870520888,,
Qtrim1,40.944,,,,,,,,,0.01770461905246453,
Qtrim2,140.645,,,,-0.06689802560944978,-0.05169392886774595,,,,,
Qtrim3,23.893,,,,,,,,,,0.013431061587836073
Qtrim4,41.786,,,,,,,,0.02211609921936939,,
Qtrim5,85.006,,,,,,0.0443131017091463,,,,
