NameCircuit,CurrentValue_inA,QDC,QDN,QDS,QDW7,QDW9,QFC,QFNS,QFN,QFW6,QFW8
Qmain1,144.126,-0.4487380146166461,-0.4487380143040513,-0.5684014830189208,-0.4570479833835875,-0.35317343741046975,0.5009049895459727,0.568401491290795,0.5085697468019682,0.4154981649513302,0.5401476115330893
Qmain2,90.715,,,,,,,0.3577601657353918,,,
Qtrim1,8.719,,,,,,,,,0.02513584647123043,
Qtrim2,24.534,,,,-0.07780147898727137,-0.06011931999381419,,,,,
Qtrim3,3.937,,,,,,,,,,0.014754876735999919
Qtrim4,12.519,,,,,,,0.049372210199447916,,,
Qtrim5,11.065,,,,,,0.03845602951116515,,,,
