NameCircuit,CurrentValue_inA,QDC,QDN,QDS,QDW7,QDW9,QFC,QFNS,QFN,QFW6,QFW8
Qmain1,46.656,-0.4357920321729153,-0.4357920312300208,-0.552003240422015,-0.4438622734643203,-0.34298447023200584,0.4864540025281024,0.5520032570878631,0.49389763094330896,0.4035111144971075,0.5245645275615306
Qmain2,30.219,,,,,,,0.3575314367040019,,,
Qtrim1,3.806,,,,,,,,,0.032916712672307065,
Qtrim2,7.808,,,,-0.0742814937208375,-0.05739932228576108,,,,,
Qtrim3,1.88,,,,,,,,,,0.021137333277925618
Qtrim4,2.405,,,,,,,0.028454402442475168,,,
Qtrim5,5.844,,,,,,0.06093186708621036,,,,
